spatial_cell_id,raw_count,normalized_count,observed_days,full_month_days,normalization_factor
CELL_2603_15512,4,15,8,30,3.75
CELL_2603_15518,1,4,8,30,3.75
CELL_2603_15523,2,8,8,30,3.75
CELL_2603_15530,1,4,8,30,3.75
CELL_2603_15541,1,4,8,30,3.75
CELL_2604_15503,1,4,8,30,3.75
CELL_2604_15506,2,8,8,30,3.75
CELL_2604_15509,2,8,8,30,3.75
CELL_2604_15510,2,8,8,30,3.75
CELL_2604_15512,1,4,8,30,3.75
CELL_2604_15516,30,112,8,30,3.75
CELL_2604_15517,16,60,8,30,3.75
CELL_2604_15527,6,22,8,30,3.75
CELL_2604_15552,1,4,8,30,3.75
CELL_2605_15502,2,8,8,30,3.75
CELL_2605_15503,1,4,8,30,3.75
CELL_2605_15504,4,15,8,30,3.75
CELL_2605_15507,20,75,8,30,3.75
CELL_2605_15508,8,30,8,30,3.75
CELL_2605_15514,56,210,8,30,3.75
CELL_2605_15515,71,266,8,30,3.75
CELL_2605_15516,29,109,8,30,3.75
CELL_2605_15517,13,49,8,30,3.75
CELL_2605_15525,10,38,8,30,3.75
CELL_2605_15526,3,11,8,30,3.75
CELL_2605_15532,3,11,8,30,3.75
CELL_2606_15506,3,11,8,30,3.75
CELL_2606_15507,7,26,8,30,3.75
CELL_2606_15510,2,8,8,30,3.75
CELL_2606_15513,8,30,8,30,3.75
CELL_2606_15514,1,4,8,30,3.75
CELL_2606_15516,9,34,8,30,3.75
CELL_2606_15517,4,15,8,30,3.75
CELL_2606_15527,3,11,8,30,3.75
CELL_2606_15546,1,4,8,30,3.75
CELL_2607_15500,1,4,8,30,3.75
CELL_2607_15503,5,19,8,30,3.75
CELL_2607_15504,1,4,8,30,3.75
CELL_2607_15512,1,4,8,30,3.75
CELL_2607_15513,7,26,8,30,3.75
CELL_2607_15517,71,266,8,30,3.75
CELL_2607_15547,1,4,8,30,3.75
CELL_2608_15501,2,8,8,30,3.75
CELL_2608_15502,11,41,8,30,3.75
CELL_2608_15503,7,26,8,30,3.75
CELL_2608_15510,2,8,8,30,3.75
CELL_2608_15511,3,11,8,30,3.75
CELL_2608_15516,3,11,8,30,3.75
CELL_2608_15517,6,22,8,30,3.75
CELL_2608_15518,1,4,8,30,3.75
CELL_2608_15522,1,4,8,30,3.75
CELL_2608_15524,3,11,8,30,3.75
CELL_2609_15498,3,11,8,30,3.75
CELL_2609_15499,8,30,8,30,3.75
CELL_2609_15501,17,64,8,30,3.75
CELL_2609_15504,3,11,8,30,3.75
CELL_2609_15508,4,15,8,30,3.75
CELL_2609_15509,1,4,8,30,3.75
CELL_2609_15511,3,11,8,30,3.75
CELL_2609_15514,19,71,8,30,3.75
CELL_2609_15515,186,698,8,30,3.75
CELL_2609_15518,4,15,8,30,3.75
CELL_2609_15525,28,105,8,30,3.75
CELL_2609_15526,3,11,8,30,3.75
CELL_2609_15549,3,11,8,30,3.75
CELL_2609_15550,7,26,8,30,3.75
CELL_2610_15496,16,60,8,30,3.75
CELL_2610_15497,25,94,8,30,3.75
CELL_2610_15501,5,19,8,30,3.75
CELL_2610_15507,1,4,8,30,3.75
