patrol_rank,cell_lat,cell_lon,ensemble_score,pred_lgbm,pred_rolling,pred_lag1,count_lag1,rolling_mean_3m,recurrence_rate,n_active_months,persistence_score,patrol_tier
168,,,55.31309031620894,43.62618063241788,74.33333333333333,56.0,56.0,74.33333333333333,1.0,5,1.0,Tier 2 — Medium
169,,,54.81928230643612,51.63856461287224,60.666666666666664,54.0,54.0,60.666666666666664,1.0,5,1.0,Tier 2 — Medium
170,,,53.97477494569096,53.349549891381926,51.0,60.0,60.0,51.0,1.0,5,1.0,Tier 2 — Medium
171,,,53.586533180404246,49.57306636080849,47.333333333333336,73.0,73.0,47.333333333333336,1.0,5,1.0,Tier 2 — Medium
172,,,53.497958150238944,53.79591630047789,71.33333333333333,26.0,26.0,71.33333333333333,1.0,5,1.0,Tier 2 — Medium
173,,,53.352273885005864,48.10454777001173,51.0,70.0,70.0,51.0,1.0,5,1.0,Tier 2 — Medium
174,,,53.223638845755275,52.04727769151055,73.33333333333333,26.0,26.0,73.33333333333333,1.0,5,1.0,Tier 2 — Medium
175,,,52.64477497543585,53.289549950871695,51.333333333333336,53.0,53.0,51.333333333333336,1.0,5,1.0,Tier 2 — Medium
176,,,52.432701271650515,48.86540254330103,47.333333333333336,69.0,69.0,47.333333333333336,1.0,5,1.0,Tier 2 — Medium
177,,,52.248108863980825,47.696217727961645,76.66666666666667,27.0,27.0,76.66666666666667,1.0,5,1.0,Tier 2 — Medium
178,,,51.21719572848274,46.434391456965486,52.0,62.0,62.0,52.0,1.0,5,1.0,Tier 2 — Medium
179,,,51.146483295394866,57.49296659078973,30.666666666666668,66.0,66.0,30.666666666666668,1.0,5,1.0,Tier 2 — Medium
180,,,50.670852096813256,49.341704193626526,58.666666666666664,42.0,42.0,58.666666666666664,1.0,5,1.0,Tier 2 — Medium
181,,,49.842468829134816,43.68493765826964,52.0,62.0,62.0,52.0,1.0,5,1.0,Tier 2 — Medium
182,,,48.528974248832185,58.85794849766436,36.333333333333336,41.0,41.0,36.333333333333336,1.0,5,1.0,Tier 2 — Medium
183,,,48.48930312554684,35.578606251093674,58.333333333333336,66.0,66.0,58.333333333333336,1.0,5,1.0,Tier 2 — Medium
184,,,47.69388271407696,46.58776542815393,54.0,41.0,41.0,54.0,1.0,5,1.0,Tier 2 — Medium
185,,,47.524993009717925,45.84998601943585,47.333333333333336,52.0,52.0,47.333333333333336,1.0,5,1.0,Tier 2 — Medium
186,,,47.300574284571155,44.201148569142305,61.333333333333336,34.0,34.0,61.333333333333336,1.0,5,1.0,Tier 2 — Medium
187,,,46.48674907374488,60.373498147489755,27.0,41.0,41.0,27.0,1.0,5,1.0,Tier 2 — Medium
188,,,46.35778554466688,47.31557108933377,47.666666666666664,42.0,42.0,47.666666666666664,1.0,5,1.0,Tier 2 — Medium
189,,,45.370730269355334,41.14146053871067,65.33333333333333,26.0,26.0,65.33333333333333,1.0,5,1.0,Tier 2 — Medium
190,,,45.34974288465049,39.499485769300975,54.666666666666664,46.0,46.0,54.666666666666664,1.0,5,1.0,Tier 2 — Medium
